,lgbm_name,target_meter,mse_train,mse_test,R2_train,R2_test,Exec_time,learning_rate,max_depth,min_data_in_leaf,n_estimators,num_leaves
0,LGBM_RS_TS_model1,0,0.1620931683366768,0.5834973074359263,0.9463857859759713,0.7583733337379841,9974.977779,0.1,10.0,400.0,100.0,91.0
1,LGBM_RS_TS_model1,1,0.8339919697592814,2.186633358652227,0.867069638326111,0.6482680093551705,38156.528994,0.1,10.0,400.0,100.0,91.0
2,LGBM_RS_TS_model1,2,0.9879211598519877,2.1857193453577533,0.8596034012603857,0.5846196717061172,670.725857,0.1,30.0,100.0,100.0,91.0
3,LGBM_RS_TS_model1,3,1.3560633495429466,3.5859093467091587,0.7997463241576511,0.45253354123310563,331.601888,0.1,10.0,400.0,100.0,31.0
4,LGBM_RS_TS_model2,1,0.7362801076909481,2.3216721661206425,0.8826439767316975,0.6265462751754424,1560.0606,0.1,30.0,700.0,100.0,124.0
5,LGBM_RS_TS_model2,2,0.911443766369965,2.508517937909741,0.8704718453849714,0.5232741079987596,1486.101876,0.1,30.0,100.0,100.0,124.0
6,LGBM_RS_TS_model2,3,1.346353412697173,3.5949478204455825,0.8011802177484031,0.4511536231340386,459.645866,0.1,10.0,100.0,100.0,31.0
7,LGBM_RS_TS_model3,1,0.7177372022862969,2.23045644128677,0.8855995389089165,0.6412188257184855,1862.915258,0.05,30.0,400.0,200.0,124.0
8,LGBM_RS_TS_model3,2,0.9458305110790078,2.23099206262511,0.8655850364015496,0.5760159156011939,1045.33927,0.05,30.0,400.0,200.0,124.0
9,LGBM_RS_TS_model3,3,1.3523998530010166,3.721018535520283,0.800287322960697,0.4319062074124178,601.976977,0.05,50.0,400.0,200.0,31.0
10,LGBM_GS_TS_model1,0,0.15296711934902704,0.5795086873417432,0.949404333572014,0.7600250242669057,8831.637197,0.05,30.0,400.0,200.0,96.0
11,LGBM_GS_TS_model1,1,0.7617398062801444,2.1562170982242255,0.8785859437238414,0.6531606319733978,31412.346265,0.05,30.0,100.0,200.0,96.0
12,LGBM_GS_TS_model1,2,0.9713470458417017,2.377841440227645,0.8619588009913879,0.5481082417235537,4397.291591,0.05,20.0,100.0,200.0,96.0
13,LGBM_GS_TS_model1,3,1.3650967311323505,3.652228371186062,0.7984123393779766,0.44240851074047327,1051.18933,0.05,10.0,400.0,200.0,31.0
